,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Gender-Science,maskfeat,male,female,science,liberal-arts,0.20064409931203758,0.02048212583634677,0.015921462970204324,0.1816,40,21,
Gender-Career,maskfeat,male,female,career,family,0.6870300747257547,-0.0454556751448192,-0.06949249136214011,0.0013,40,21,***
Intersectional-Gender-Science-MF,maskfeat,male,female,science,liberal-arts,0.44271053118928827,0.01405539844329888,0.003323185069747857,0.0241,40,21,**
Intersectional-Gender-Science-WMBM,maskfeat,white-male,black-male,science,liberal-arts,0.28454932985215353,0.017818170389395115,0.010292626497202648,0.1883,20,21,
Intersectional-Gender-Science-WMBF,maskfeat,white-male,black-female,science,liberal-arts,0.9865118032188642,0.017818170389395115,-0.007598572095051372,0.0003,20,21,***
Intersectional-Gender-Science-WMWF,maskfeat,white-male,white-female,science,liberal-arts,0.1644073405734422,0.017818170389395115,0.01424494223454709,0.3074,20,21,
Intersectional-Gender-Science-BMBF,maskfeat,black-male,black-female,science,liberal-arts,0.7258977242093417,0.010292626497202648,-0.007598572095051372,0.0094,20,21,***
Intersectional-Gender-Science-BMWF,maskfeat,black-male,white-female,science,liberal-arts,-0.17669221405743007,0.010292626497202648,0.01424494223454709,0.7119,20,21,
Intersectional-Gender-Career-MF,maskfeat,male,female,career,family,0.7001951964524809,-0.04291631296759738,-0.06230311388264061,0.001,40,21,***
Intersectional-Gender-Career-WMBM,maskfeat,black-male,white-male,career,family,-0.07485000434089266,-0.04388774490871046,-0.041944881026484304,0.5925,20,21,
Intersectional-Gender-Career-WMBF,maskfeat,white-male,black-female,career,family,0.6842454743739174,-0.041944881026484304,-0.062012825881615885,0.0142,20,21,**
Intersectional-Gender-Career-WMWF,maskfeat,white-male,white-female,career,family,0.6745121267050606,-0.041944881026484304,-0.0625934018836653,0.018,20,21,**
Intersectional-Gender-Career-BMBF,maskfeat,black-male,black-female,career,family,0.7305707318047205,-0.04388774490871046,-0.062012825881615885,0.0086,20,21,***
Intersectional-Gender-Career-BMWF,maskfeat,black-male,white-female,career,family,0.7111371501271923,-0.04388774490871046,-0.0625934018836653,0.0106,20,21,**
Intersectional-Valence-BW,maskfeat,white,black,pleasant,unpleasant,0.4736359887961203,-0.0021604418315442167,-0.010182854535224795,0.0177,40,55,**
Intersectional-Valence-WMBM,maskfeat,white-male,black-male,pleasant,unpleasant,0.5162379148659585,-0.0005368793363219385,-0.009238177621971409,0.0502,20,55,*
Intersectional-Valence-WMBF,maskfeat,white-male,black-female,pleasant,unpleasant,0.5975516721875695,-0.0005368793363219385,-0.011127531448478178,0.0306,20,55,**
Intersectional-Valence-WMWF,maskfeat,white-female,white-male,pleasant,unpleasant,-0.2610779770915517,-0.003784004326766495,-0.0005368793363219385,0.797,20,55,
Intersectional-Valence-WFBM,maskfeat,white-female,black-male,pleasant,unpleasant,0.3339228497184902,-0.003784004326766495,-0.009238177621971409,0.1454,20,55,
Intersectional-Valence-BFBM,maskfeat,black-female,black-male,pleasant,unpleasant,-0.09525076159502346,-0.011127531448478178,-0.009238177621971409,0.6147,20,55,
Intersectional-Valence-WFBF,maskfeat,white-female,black-female,pleasant,unpleasant,0.42852921379330494,-0.003784004326766495,-0.011127531448478178,0.0895,20,55,*
Intersectional-Valence-FM,maskfeat,female,male,pleasant,unpleasant,-0.1516265313975259,-0.007455767887622337,-0.004887528479146673,0.7566,40,55,
Insect-Flower,mae,flower,insect,pleasant,unpleasant,1.5688646977203242,0.042056401072662467,-0.03395906479370794,0.0001,35,55,***
Gender-Science,mae,male,female,science,liberal-arts,0.5253859649213176,0.019720964252795424,0.007354786888693876,0.0076,40,21,***
Gender-Career,mae,male,female,career,family,0.8562954375378037,-0.022586065106001647,-0.0505723322088126,0.0001,40,21,***
Intersectional-Gender-Science-MF,mae,male,female,science,liberal-arts,0.8273241891516128,0.020348764575313975,0.0019243638549833702,0.0001,40,21,***
Intersectional-Gender-Science-WMBM,mae,white-male,black-male,science,liberal-arts,0.0012431832316381344,0.020362606307945327,0.020334922842682627,0.4973,20,21,
Intersectional-Gender-Science-WMBF,mae,white-male,black-female,science,liberal-arts,0.8484098209392845,0.020362606307945327,4.515699061786501e-05,0.0025,20,21,***
Intersectional-Gender-Science-WMWF,mae,white-male,white-female,science,liberal-arts,0.6659763259560512,0.020362606307945327,0.003803570719348876,0.0163,20,21,**
Intersectional-Gender-Science-BMBF,mae,black-male,black-female,science,liberal-arts,1.034681263049821,0.020334922842682627,4.515699061786501e-05,0.0005,20,21,***
Intersectional-Gender-Science-BMWF,mae,black-male,white-female,science,liberal-arts,0.7978299970885331,0.020334922842682627,0.003803570719348876,0.0056,20,21,***
Intersectional-Gender-Career-MF,mae,male,female,career,family,0.9999555554823686,-0.011261440860812724,-0.041308378508866005,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,mae,black-male,white-male,career,family,0.014006743312383054,-0.011080115825329665,-0.011442765896295778,0.4755,20,21,
Intersectional-Gender-Career-WMBF,mae,white-male,black-female,career,family,0.6843989975448871,-0.011442765896295778,-0.03159049802299392,0.0138,20,21,**
Intersectional-Gender-Career-WMWF,mae,white-male,white-female,career,family,1.26354781227698,-0.011442765896295778,-0.051026258994738095,0.0001,20,21,***
Intersectional-Gender-Career-BMBF,mae,black-male,black-female,career,family,0.7263792809070907,-0.011080115825329665,-0.03159049802299392,0.0091,20,21,***
Intersectional-Gender-Career-BMWF,mae,black-male,white-female,career,family,1.3200883306825986,-0.011080115825329665,-0.051026258994738095,0.0001,20,21,***
Intersectional-Valence-BW,mae,white,black,pleasant,unpleasant,0.5073291687138847,-0.0001768391841068185,-0.008645378558441653,0.0122,40,55,**
Intersectional-Valence-WMBM,mae,white-male,black-male,pleasant,unpleasant,0.8655823475620575,-0.006200530614678639,-0.020433811566616132,0.0017,20,55,***
Intersectional-Valence-WMBF,mae,white-male,black-female,pleasant,unpleasant,-0.6754273610744369,-0.006200530614678639,0.0031430544497328267,0.9837,20,55,
Intersectional-Valence-WMWF,mae,white-female,white-male,pleasant,unpleasant,0.8260853378406897,0.0058468522464650025,-0.006200530614678639,0.0044,20,55,***
Intersectional-Valence-WFBM,mae,white-female,black-male,pleasant,unpleasant,1.3928600770092752,0.0058468522464650025,-0.020433811566616132,0.0001,20,55,***
Intersectional-Valence-BFBM,mae,black-female,black-male,pleasant,unpleasant,1.3285012608189417,0.0031430544497328267,-0.020433811566616132,0.0001,20,55,***
Intersectional-Valence-WFBF,mae,white-female,black-female,pleasant,unpleasant,0.235942504383375,0.0058468522464650025,0.0031430544497328267,0.2337,20,55,
Intersectional-Valence-FM,mae,female,male,pleasant,unpleasant,1.067080152207147,0.004494953348098915,-0.013317171090647386,0.0001,40,55,***
Insect-Flower,milan,flower,insect,pleasant,unpleasant,1.8731923183511385,0.024920022548118852,-0.01104504109231195,0.0001,35,55,***
Gender-Science,milan,male,female,science,liberal-arts,0.2785868711585378,0.0010530186698396726,-0.0002444886447277361,0.1035,40,21,
Gender-Career,milan,male,female,career,family,0.2187918392681971,-0.021311998929100854,-0.023234939972691396,0.1658,40,21,
Intersectional-Gender-Science-MF,milan,male,female,science,liberal-arts,0.09027871405738189,-0.001442710837237965,-0.0017834667759145384,0.3392,40,21,
Intersectional-Gender-Science-WMBM,milan,white-male,black-male,science,liberal-arts,0.6410475087039541,-0.00026278965356473226,-0.0026226320209111974,0.0195,20,21,**
Intersectional-Gender-Science-WMBF,milan,white-male,black-female,science,liberal-arts,0.7287356602552332,-0.00026278965356473226,-0.003083719038600219,0.0085,20,21,***
Intersectional-Gender-Science-WMWF,milan,white-male,white-female,science,liberal-arts,0.05468409749917951,-0.00026278965356473226,-0.0004832145132288579,0.4419,20,21,
Intersectional-Gender-Science-BMBF,milan,black-male,black-female,science,liberal-arts,0.14994114382148263,-0.0026226320209111974,-0.003083719038600219,0.318,20,21,
Intersectional-Gender-Science-BMWF,milan,black-male,white-female,science,liberal-arts,-0.5745224896648204,-0.0026226320209111974,-0.0004832145132288579,0.9659,20,21,
Intersectional-Gender-Career-MF,milan,male,female,career,family,0.3210150522130549,-0.024618035131671805,-0.027049543732113424,0.0722,40,21,*
Intersectional-Gender-Career-WMBM,milan,black-male,white-male,career,family,-1.2492670979415414,-0.02973113490586344,-0.019504935357480175,1.0,20,21,
Intersectional-Gender-Career-WMBF,milan,white-male,black-female,career,family,1.4006236459945367,-0.019504935357480175,-0.030717782342655008,0.0001,20,21,***
Intersectional-Gender-Career-WMWF,milan,white-male,white-female,career,family,0.6054005109654569,-0.019504935357480175,-0.023381305121571844,0.0279,20,21,**
Intersectional-Gender-Career-BMBF,milan,black-male,black-female,career,family,0.16519428896125765,-0.02973113490586344,-0.030717782342655008,0.3022,20,21,
Intersectional-Gender-Career-BMWF,milan,black-male,white-female,career,family,-0.8886755738664256,-0.02973113490586344,-0.023381305121571844,0.998,20,21,
Intersectional-Valence-BW,milan,white,black,pleasant,unpleasant,1.2734216533121674,-0.007208858863916187,-0.013213399698319906,0.0001,40,55,***
Intersectional-Valence-WMBM,milan,white-male,black-male,pleasant,unpleasant,1.257257230872136,-0.00902922534106756,-0.01444924919414633,0.0001,20,55,***
Intersectional-Valence-WMBF,milan,white-male,black-female,pleasant,unpleasant,0.8253649862695848,-0.00902922534106756,-0.01197755020249348,0.0051,20,55,***
Intersectional-Valence-WMWF,milan,white-female,white-male,pleasant,unpleasant,0.9525491677530395,-0.0053884923867648146,-0.00902922534106756,0.0007,20,55,***
Intersectional-Valence-WFBM,milan,white-female,black-male,pleasant,unpleasant,1.599173885888013,-0.0053884923867648146,-0.01444924919414633,0.0001,20,55,***
Intersectional-Valence-BFBM,milan,black-female,black-male,pleasant,unpleasant,0.7153100900398274,-0.01197755020249348,-0.01444924919414633,0.0102,20,55,**
Intersectional-Valence-WFBF,milan,white-female,black-female,pleasant,unpleasant,1.415668902184367,-0.0053884923867648146,-0.01197755020249348,0.0001,20,55,***
Intersectional-Valence-FM,milan,female,male,pleasant,unpleasant,0.6481514081625728,-0.008683021294629148,-0.011739237267606945,0.001,40,55,***
Insect-Flower,simmm,flower,insect,pleasant,unpleasant,1.703234531114703,0.07126744730173684,-0.051324089183825375,0.0001,35,55,***
Gender-Science,simmm,male,female,science,liberal-arts,0.14949634629234265,0.019149534211006992,0.013907363917045116,0.2482,40,21,
Gender-Career,simmm,male,female,career,family,0.4289017986486849,-0.05325435813249112,-0.06923515014808991,0.0244,40,21,**
Intersectional-Gender-Science-MF,simmm,male,female,science,liberal-arts,0.288255790082762,0.015814266528040744,0.006133095325911123,0.0971,40,21,*
Intersectional-Gender-Science-WMBM,simmm,white-male,black-male,science,liberal-arts,-0.03444464828412212,0.015184523471839618,0.016444009584241866,0.5436,20,21,
Intersectional-Gender-Science-WMBF,simmm,white-male,black-female,science,liberal-arts,0.4631728005426053,0.015184523471839618,-0.00041376166156794643,0.0757,20,21,*
Intersectional-Gender-Science-WMWF,simmm,white-male,white-female,science,liberal-arts,0.07082629706243158,0.015184523471839618,0.012679952313390192,0.4104,20,21,
Intersectional-Gender-Science-BMBF,simmm,black-male,black-female,science,liberal-arts,0.5287618595982814,0.016444009584241866,-0.00041376166156794643,0.0489,20,21,**
Intersectional-Gender-Science-BMWF,simmm,black-male,white-female,science,liberal-arts,0.1122564787222596,0.016444009584241866,0.012679952313390192,0.3625,20,21,
Intersectional-Gender-Career-MF,simmm,male,female,career,family,0.1831081408661573,-0.052655756827771585,-0.058877261899425215,0.2053,40,21,
Intersectional-Gender-Career-WMBM,simmm,black-male,white-male,career,family,0.06610915019706548,-0.051385856711578304,-0.05392565694396486,0.4146,20,21,
Intersectional-Gender-Career-WMBF,simmm,white-male,black-female,career,family,0.41367586822454616,-0.05392565694396486,-0.0695794066483302,0.1001,20,21,
Intersectional-Gender-Career-WMWF,simmm,white-male,white-female,career,family,-0.1558604103445635,-0.05392565694396486,-0.04817511715052024,0.6882,20,21,
Intersectional-Gender-Career-BMBF,simmm,black-male,black-female,career,family,0.5960757035113764,-0.051385856711578304,-0.0695794066483302,0.0326,20,21,**
Intersectional-Gender-Career-BMWF,simmm,black-male,white-female,career,family,-0.11123957818379403,-0.051385856711578304,-0.04817511715052024,0.6346,20,21,
Intersectional-Valence-BW,simmm,white,black,pleasant,unpleasant,-0.0299261143840467,0.027477522061124332,0.028234618433155757,0.5553,40,55,
Intersectional-Valence-WMBM,simmm,white-male,black-male,pleasant,unpleasant,0.51277389594429,0.030519667842518212,0.018035755860743206,0.0532,20,55,*
Intersectional-Valence-WMBF,simmm,white-male,black-female,pleasant,unpleasant,-0.2996999444783588,0.030519667842518212,0.0384334810055683,0.8217,20,55,
Intersectional-Valence-WMWF,simmm,white-female,white-male,pleasant,unpleasant,-0.24151034512949737,0.024435376279730452,0.030519667842518212,0.7768,20,55,
Intersectional-Valence-WFBM,simmm,white-female,black-male,pleasant,unpleasant,0.2835747765023074,0.024435376279730452,0.018035755860743206,0.1803,20,55,
Intersectional-Valence-BFBM,simmm,black-female,black-male,pleasant,unpleasant,0.7930735393521007,0.0384334810055683,0.018035755860743206,0.0034,20,55,***
Intersectional-Valence-WFBF,simmm,white-female,black-female,pleasant,unpleasant,-0.5377966487774788,0.024435376279730452,0.0384334810055683,0.9538,20,55,
Intersectional-Valence-FM,simmm,female,male,pleasant,unpleasant,0.2828870051610319,0.03143442864264938,0.02427771185163071,0.1005,40,55,
Insect-Flower,moco,flower,insect,pleasant,unpleasant,1.6742279346105744,0.05331828408561588,-0.028271045390811978,0.0001,35,55,***
Gender-Science,moco,male,female,science,liberal-arts,-0.013599516392469414,0.02298931026822002,0.023258011176678868,0.5158,40,21,
Gender-Career,moco,male,female,career,family,0.7690038237685699,-0.025707663536370086,-0.04416369137258878,0.0001,40,21,***
Intersectional-Gender-Science-MF,moco,male,female,science,liberal-arts,-0.09181780553038647,0.01600671126914984,0.01793996273451942,0.6586,40,21,
Intersectional-Gender-Science-WMBM,moco,white-male,black-male,science,liberal-arts,-0.09353778253544777,0.01483907397304061,0.017174348565259068,0.6091,20,21,
Intersectional-Gender-Science-WMBF,moco,white-male,black-female,science,liberal-arts,0.058846733544322696,0.01483907397304061,0.013619453650265729,0.4132,20,21,
Intersectional-Gender-Science-WMWF,moco,white-male,white-female,science,liberal-arts,-0.3587200312115418,0.01483907397304061,0.022260471818773116,0.875,20,21,
Intersectional-Gender-Science-BMBF,moco,black-male,black-female,science,liberal-arts,0.1648711900650622,0.017174348565259068,0.013619453650265729,0.3136,20,21,
Intersectional-Gender-Science-BMWF,moco,black-male,white-female,science,liberal-arts,-0.23895856127740048,0.017174348565259068,0.022260471818773116,0.765,20,21,
Intersectional-Gender-Career-MF,moco,male,female,career,family,1.0866611753491056,-0.014358758001456116,-0.03875943945262304,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,moco,black-male,white-male,career,family,0.293403580528167,-0.011235840009538537,-0.01748167599337369,0.1777,20,21,
Intersectional-Gender-Career-WMBF,moco,white-male,black-female,career,family,0.8882583029876717,-0.01748167599337369,-0.037855457589521795,0.0016,20,21,***
Intersectional-Gender-Career-WMWF,moco,white-male,white-female,career,family,1.1578327891025817,-0.01748167599337369,-0.03966342131572429,0.0001,20,21,***
Intersectional-Gender-Career-BMBF,moco,black-male,black-female,career,family,1.0473235661073157,-0.011235840009538537,-0.037855457589521795,0.0002,20,21,***
Intersectional-Gender-Career-BMWF,moco,black-male,white-female,career,family,1.2806547547180511,-0.011235840009538537,-0.03966342131572429,0.0001,20,21,***
Intersectional-Valence-BW,moco,white,black,pleasant,unpleasant,0.6023358591661657,0.011247479487954744,0.0024371023418168236,0.0034,40,55,***
Intersectional-Valence-WMBM,moco,white-male,black-male,pleasant,unpleasant,0.7237739100998521,0.0041594339076102575,-0.00546331390038356,0.0108,20,55,**
Intersectional-Valence-WMBF,moco,white-male,black-female,pleasant,unpleasant,-0.4966729884834802,0.0041594339076102575,0.010337518584017205,0.939,20,55,
Intersectional-Valence-WMWF,moco,white-female,white-male,pleasant,unpleasant,1.060871165224752,0.018335525068299233,0.0041594339076102575,0.0003,20,55,***
Intersectional-Valence-WFBM,moco,white-female,black-male,pleasant,unpleasant,1.4265398717987738,0.018335525068299233,-0.00546331390038356,0.0001,20,55,***
Intersectional-Valence-BFBM,moco,black-female,black-male,pleasant,unpleasant,1.077564771448727,0.010337518584017205,-0.00546331390038356,0.0002,20,55,***
Intersectional-Valence-WFBF,moco,white-female,black-female,pleasant,unpleasant,0.6725655858604942,0.018335525068299233,0.010337518584017205,0.0145,20,55,**
Intersectional-Valence-FM,moco,female,male,pleasant,unpleasant,1.0247107336851469,0.01433652182615822,-0.000651939996386652,0.0001,40,55,***
Insect-Flower,dino,flower,insect,pleasant,unpleasant,1.1883530667504467,0.014792298340202976,-0.020062107027441628,0.0001,35,55,***
Gender-Science,dino,male,female,science,liberal-arts,-0.4009494470746819,-0.0008346043756130604,0.005873623280740204,0.9622,40,21,
Gender-Career,dino,male,female,career,family,0.3728585071266991,-0.05847715049207232,-0.07251387922195426,0.0522,40,21,*
Intersectional-Gender-Science-MF,dino,male,female,science,liberal-arts,-0.06394893873008162,0.003035460468117883,0.00393900981580989,0.6092,40,21,
Intersectional-Gender-Science-WMBM,dino,white-male,black-male,science,liberal-arts,-0.3359792209049454,0.0012735878008160676,0.004797333135419698,0.8513,20,21,
Intersectional-Gender-Science-WMBF,dino,white-male,black-female,science,liberal-arts,-0.03751518824839735,0.0012735878008160676,0.0017801183975124605,0.5425,20,21,
Intersectional-Gender-Science-WMWF,dino,white-male,white-female,science,liberal-arts,-0.3589441177950868,0.0012735878008160676,0.006097901234107321,0.8694,20,21,
Intersectional-Gender-Science-BMBF,dino,black-male,black-female,science,liberal-arts,0.20174617730640076,0.004797333135419698,0.0017801183975124605,0.2765,20,21,
Intersectional-Gender-Science-BMWF,dino,black-male,white-female,science,liberal-arts,-0.08886316884931479,0.004797333135419698,0.006097901234107321,0.6039,20,21,
Intersectional-Gender-Career-MF,dino,male,female,career,family,0.39516111954414956,-0.046023432376482376,-0.05733923706301582,0.0368,40,21,**
Intersectional-Gender-Career-WMBM,dino,black-male,white-male,career,family,0.19155588613023208,-0.04350547946307156,-0.04854138528989319,0.281,20,21,
Intersectional-Gender-Career-WMBF,dino,white-male,black-female,career,family,-0.16519748232391315,-0.04854138528989319,-0.04390761977184119,0.7037,20,21,
Intersectional-Gender-Career-WMWF,dino,white-male,white-female,career,family,0.7712969475955591,-0.04854138528989319,-0.07077085435419045,0.0058,20,21,***
Intersectional-Gender-Career-BMBF,dino,black-male,black-female,career,family,0.015199922595221982,-0.04350547946307156,-0.04390761977184119,0.4845,20,21,
Intersectional-Gender-Career-BMWF,dino,black-male,white-female,career,family,0.9561307566651321,-0.04350547946307156,-0.07077085435419045,0.0007,20,21,***
Intersectional-Valence-BW,dino,white,black,pleasant,unpleasant,1.0162115795131712,0.010778422143154127,-0.0059836710670996525,0.0001,40,55,***
Intersectional-Valence-WMBM,dino,white-male,black-male,pleasant,unpleasant,1.0034092302923303,0.005479466131758757,-0.010757184259681953,0.0008,20,55,***
Intersectional-Valence-WMBF,dino,white-male,black-female,pleasant,unpleasant,0.5144753077288097,0.005479466131758757,-0.0012101578745173504,0.0524,20,55,*
Intersectional-Valence-WMWF,dino,white-female,white-male,pleasant,unpleasant,0.7955804250497672,0.016077378154549495,0.005479466131758757,0.0048,20,55,***
Intersectional-Valence-WFBM,dino,white-female,black-male,pleasant,unpleasant,1.3731353742923655,0.016077378154549495,-0.010757184259681953,0.0001,20,55,***
Intersectional-Valence-BFBM,dino,black-female,black-male,pleasant,unpleasant,0.6300725010228588,-0.0012101578745173504,-0.010757184259681953,0.0222,20,55,**
Intersectional-Valence-WFBF,dino,white-female,black-female,pleasant,unpleasant,1.1223370321873418,0.016077378154549495,-0.0012101578745173504,0.0001,20,55,***
Intersectional-Valence-FM,dino,female,male,pleasant,unpleasant,0.6106492614604042,0.007433610140016073,-0.0026388590639615985,0.0028,40,55,***
Insect-Flower,deit,flower,insect,pleasant,unpleasant,1.566151440461891,0.05159190449740427,-0.016730464022331932,0.0001,35,55,***
Gender-Science,deit,male,female,science,liberal-arts,0.09649128081019381,0.012925487714029515,0.011452797335479287,0.3411,40,21,
Gender-Career,deit,male,female,career,family,0.7863385326241166,-0.04579484605718093,-0.0679277341439635,0.0001,40,21,***
Intersectional-Gender-Science-MF,deit,male,female,science,liberal-arts,0.1962537088761798,0.007838991682199231,0.0049351540043509725,0.1896,40,21,
Intersectional-Gender-Science-WMBM,deit,white-male,black-male,science,liberal-arts,0.28151379554596195,0.010017643285395396,0.0056603400790030635,0.1921,20,21,
Intersectional-Gender-Science-WMBF,deit,white-male,black-female,science,liberal-arts,0.6244354925838924,0.010017643285395396,0.00017927983192648193,0.0245,20,21,**
Intersectional-Gender-Science-WMWF,deit,white-male,white-female,science,liberal-arts,0.021217278998650797,0.010017643285395396,0.009691028176775461,0.4712,20,21,
Intersectional-Gender-Science-BMBF,deit,black-male,black-female,science,liberal-arts,0.4064539919591446,0.0056603400790030635,0.00017927983192648193,0.0977,20,21,*
Intersectional-Gender-Science-BMWF,deit,black-male,white-female,science,liberal-arts,-0.29101735096794,0.0056603400790030635,0.009691028176775461,0.8211,20,21,
Intersectional-Gender-Career-MF,deit,male,female,career,family,1.2471188749983688,-0.026066346260806887,-0.05966834089362856,0.0001,40,21,***
Intersectional-Gender-Career-WMBM,deit,black-male,white-male,career,family,0.7126533964017155,-0.017763065927256818,-0.03436962659435695,0.01,20,21,**
Intersectional-Gender-Career-WMBF,deit,white-male,black-female,career,family,0.7495848236230882,-0.03436962659435695,-0.053252842245782236,0.0083,20,21,***
Intersectional-Gender-Career-WMWF,deit,white-male,white-female,career,family,1.2262020556107511,-0.03436962659435695,-0.06608383954147488,0.0001,20,21,***
Intersectional-Gender-Career-BMBF,deit,black-male,black-female,career,family,1.350576910621838,-0.017763065927256818,-0.053252842245782236,0.0001,20,21,***
Intersectional-Gender-Career-BMWF,deit,black-male,white-female,career,family,1.6731136224212455,-0.017763065927256818,-0.06608383954147488,0.0001,20,21,***
Intersectional-Valence-BW,deit,white,black,pleasant,unpleasant,0.08949001923722782,0.015106278378316837,0.014132516336047068,0.3439,40,55,
Intersectional-Valence-WMBM,deit,white-male,black-male,pleasant,unpleasant,0.39389717748135256,0.012773124486336097,0.009077608010848259,0.1065,20,55,
Intersectional-Valence-WMBF,deit,white-male,black-female,pleasant,unpleasant,-0.6169189656012825,0.012773124486336097,0.01918742466124588,0.9741,20,55,
Intersectional-Valence-WMWF,deit,white-female,white-male,pleasant,unpleasant,0.46912747684492867,0.017439432270297574,0.012773124486336097,0.0676,20,55,*
Intersectional-Valence-WFBM,deit,white-female,black-male,pleasant,unpleasant,0.7392742570097751,0.017439432270297574,0.009077608010848259,0.009,20,55,***
Intersectional-Valence-BFBM,deit,black-female,black-male,pleasant,unpleasant,0.8531753880574335,0.01918742466124588,0.009077608010848259,0.003,20,55,***
Intersectional-Valence-WFBF,deit,white-female,black-female,pleasant,unpleasant,-0.1570843665892251,0.017439432270297574,0.01918742466124588,0.6882,20,55,
Intersectional-Valence-FM,deit,female,male,pleasant,unpleasant,0.6789726865920167,0.018313428465771726,0.010925366248592177,0.0012,40,55,***
Insect-Flower,vit,flower,insect,pleasant,unpleasant,1.7275962817560995,0.051407479456175555,-0.016210555985053967,0.0001,35,55,***
Gender-Science,vit,male,female,science,liberal-arts,0.6126808530942355,0.017433544430023228,0.004068911990288473,0.0025,40,21,***
Gender-Career,vit,male,female,career,family,0.9067113587570202,-0.056944927890099084,-0.08154111124239127,0.0001,40,21,***
Intersectional-Gender-Science-MF,vit,male,female,science,liberal-arts,0.5260277331591879,0.014106392092334333,0.0048107328864021946,0.0097,40,21,***
Intersectional-Gender-Science-WMBM,vit,white-male,black-male,science,liberal-arts,0.18241819230119052,0.015482210031137622,0.012730574153531043,0.2782,20,21,
Intersectional-Gender-Science-WMBF,vit,white-male,black-female,science,liberal-arts,0.7945035669862315,0.015482210031137622,0.00018276910598867823,0.0056,20,21,***
Intersectional-Gender-Science-WMWF,vit,white-male,white-female,science,liberal-arts,0.3771369950362713,0.015482210031137622,0.009438696666815712,0.1227,20,21,
