,,X,Y,A,B,d,x_ab,y_ab,p,n_t,n_a,sig
Intersectional-Gender-Career-BMBF,mae,black-male,black-female,career,family,0.4094616132612635,-0.007765757702387667,-0.01871767919606854,0.1051,20,21,
Intersectional-Gender-Career-BMWF,mae,black-male,white-female,career,family,0.19577339704693206,-0.007765757702387667,-0.01110224883024843,0.2737,20,21,
Intersectional-Valence-BW,mae,white,black,pleasant,unpleasant,-0.12527098104313417,-0.006383721467190848,-0.005013511506545874,0.7026,40,55,
Intersectional-Valence-WMBM,mae,white-male,black-male,pleasant,unpleasant,-0.2237524698926202,-0.012475196497983152,-0.009585767347442091,0.7474,20,55,
Intersectional-Valence-WMBF,mae,white-male,black-female,pleasant,unpleasant,-0.9284924094966381,-0.012475196497983152,-0.000441255665649657,0.9998,20,55,
Intersectional-Valence-WMWF,mae,white-female,white-male,pleasant,unpleasant,0.9597079547781999,-0.0002922464363985426,-0.012475196497983152,0.0001,20,55,***
Intersectional-Valence-WFBM,mae,white-female,black-male,pleasant,unpleasant,1.0863725385381697,-0.0002922464363985426,-0.009585767347442091,0.0001,20,55,***
Intersectional-Valence-BFBM,mae,black-female,black-male,pleasant,unpleasant,1.020892540670557,-0.000441255665649657,-0.009585767347442091,0.0002,20,55,***
Intersectional-Valence-WFBF,mae,white-female,black-female,pleasant,unpleasant,0.035854541381014716,-0.0002922464363985426,-0.000441255665649657,0.4572,20,55,
Intersectional-Valence-FM,mae,female,male,pleasant,unpleasant,0.9749279791015195,-0.00036675105102409983,-0.01103048192271262,0.0001,40,55,***
Insect-Flower,milan,flower,insect,pleasant,unpleasant,1.2188149506717971,0.022356586361461525,-0.03248908657362203,0.0001,35,55,***
Gender-Science,milan,male,female,science,liberal-arts,-0.5782192938133041,0.004626338261619056,0.01475254834797016,0.9966,40,21,
Gender-Career,milan,male,female,career,family,0.36593917731037756,-0.023230928938228656,-0.03140710630137905,0.0526,40,21,*
Intersectional-Gender-Science-MF,milan,male,female,science,liberal-arts,-0.10464489466842447,0.005978295431556114,0.007356063086896713,0.6615,40,21,
Intersectional-Gender-Science-WMBM,milan,white-male,black-male,science,liberal-arts,-0.23345485825223522,0.004697123328152048,0.007259467534960181,0.6902,20,21,
Intersectional-Gender-Science-WMBF,milan,white-male,black-female,science,liberal-arts,-0.014279903631908395,0.004697123328152048,0.004800737440430979,0.5149,20,21,
Intersectional-Gender-Science-WMWF,milan,white-male,white-female,science,liberal-arts,-0.3607276443550955,0.004697123328152048,0.00991138873336245,0.8327,20,21,
Intersectional-Gender-Science-BMBF,milan,black-male,black-female,science,liberal-arts,0.20679634341029662,0.007259467534960181,0.004800737440430979,0.2934,20,21,
Intersectional-Gender-Science-BMWF,milan,black-male,white-female,science,liberal-arts,-0.15547394380510393,0.007259467534960181,0.00991138873336245,0.6488,20,21,
Intersectional-Gender-Career-MF,milan,male,female,career,family,0.48818304500372284,-0.014016281871102746,-0.024558385885276056,0.0143,40,21,**
Intersectional-Gender-Career-WMBM,milan,black-male,white-male,career,family,-0.22187760783419125,-0.01686930918693575,-0.011163254555269736,0.7603,20,21,
Intersectional-Gender-Career-WMBF,milan,white-male,black-female,career,family,0.32168045685840485,-0.011163254555269736,-0.017600321025207234,0.1555,20,21,
Intersectional-Gender-Career-WMWF,milan,white-male,white-female,career,family,0.9194633270909212,-0.011163254555269736,-0.03151645074534488,0.0015,20,21,***
Intersectional-Gender-Career-BMBF,milan,black-male,black-female,career,family,0.03461573024595466,-0.01686930918693575,-0.017600321025207234,0.463,20,21,
Intersectional-Gender-Career-BMWF,milan,black-male,white-female,career,family,0.6584629113067076,-0.01686930918693575,-0.03151645074534488,0.0173,20,21,**
Intersectional-Valence-BW,milan,white,black,pleasant,unpleasant,0.021350393260024914,0.0007786190170430639,0.0005573961490764493,0.4714,40,55,
Intersectional-Valence-WMBM,milan,white-male,black-male,pleasant,unpleasant,0.0910658425067429,-0.00124077279903778,-0.0022924789999628032,0.4045,20,55,
Intersectional-Valence-WMBF,milan,white-male,black-female,pleasant,unpleasant,-0.5310428170315793,-0.00124077279903778,0.003407271298115702,0.9514,20,55,
Intersectional-Valence-WMWF,milan,white-female,white-male,pleasant,unpleasant,0.4349806680852706,0.0027980108331239076,-0.00124077279903778,0.0835,20,55,*
Intersectional-Valence-WFBM,milan,white-female,black-male,pleasant,unpleasant,0.4294392443048377,0.0027980108331239076,-0.0022924789999628032,0.0921,20,55,*
Intersectional-Valence-BFBM,milan,black-female,black-male,pleasant,unpleasant,0.4975341423543238,0.003407271298115702,-0.0022924789999628032,0.0569,20,55,*
Intersectional-Valence-WFBF,milan,white-female,black-female,pleasant,unpleasant,-0.0718315653038123,0.0027980108331239076,0.003407271298115702,0.5909,20,55,
Intersectional-Valence-FM,milan,female,male,pleasant,unpleasant,0.46993679066239685,0.003102641065619804,-0.0017666258995002915,0.0158,40,55,**
Insect-Flower,simmm,flower,insect,pleasant,unpleasant,1.2872448408981196,0.02473777927328739,-0.030750861840137363,0.0001,35,55,***
Gender-Science,simmm,male,female,science,liberal-arts,-0.2171367764939047,0.010959634333892609,0.016751209869066284,0.8371,40,21,
Gender-Career,simmm,male,female,career,family,0.4552718846807229,-0.008352639582726442,-0.018483495123267274,0.022,40,21,**
Intersectional-Gender-Science-MF,simmm,male,female,science,liberal-arts,0.0010818604712263156,0.010145227323716963,0.010119008639576831,0.4897,40,21,
Intersectional-Gender-Science-WMBM,simmm,white-male,black-male,science,liberal-arts,0.14151932155228397,0.01178963500461782,0.008500819642816106,0.3692,20,21,
Intersectional-Gender-Science-WMBF,simmm,white-male,black-female,science,liberal-arts,0.518260497891695,0.01178963500461782,0.00210858291225355,0.0461,20,21,**
Intersectional-Gender-Science-WMWF,simmm,white-male,white-female,science,liberal-arts,-0.21039481873375143,0.01178963500461782,0.01812943436690011,0.7471,20,21,
Intersectional-Gender-Science-BMBF,simmm,black-male,black-female,science,liberal-arts,0.41794588647213315,0.008500819642816106,0.00210858291225355,0.0377,20,21,**
Intersectional-Gender-Science-BMWF,simmm,black-male,white-female,science,liberal-arts,-0.3362477360265891,0.008500819642816106,0.01812943436690011,0.8282,20,21,
Intersectional-Gender-Career-MF,simmm,male,female,career,family,0.4223380655309542,-0.005707266245418711,-0.01387850849730748,0.0294,40,21,**
Intersectional-Gender-Career-WMBM,simmm,black-male,white-male,career,family,-0.1602650617085233,-0.007286489618549745,-0.004128042872287676,0.6821,20,21,
Intersectional-Gender-Career-WMBF,simmm,white-male,black-female,career,family,0.6413012586945143,-0.004128042872287676,-0.01755821715708342,0.0208,20,21,**
Intersectional-Gender-Career-WMWF,simmm,white-male,white-female,career,family,0.29750156778879083,-0.004128042872287676,-0.010198799837531539,0.1812,20,21,
Intersectional-Gender-Career-BMBF,simmm,black-male,black-female,career,family,0.5674374937002119,-0.007286489618549745,-0.01755821715708342,0.0379,20,21,**
Intersectional-Gender-Career-BMWF,simmm,black-male,white-female,career,family,0.16346150043390212,-0.007286489618549745,-0.010198799837531539,0.3081,20,21,
Intersectional-Valence-BW,simmm,white,black,pleasant,unpleasant,0.22555080031723787,-0.003102715874352889,-0.005415521264424188,0.1586,40,55,
Intersectional-Valence-WMBM,simmm,white-male,black-male,pleasant,unpleasant,0.2602201911401624,-0.006120107352086195,-0.009359810761822726,0.2039,20,55,
Intersectional-Valence-WMBF,simmm,white-male,black-female,pleasant,unpleasant,-0.5371748894969997,-0.006120107352086195,-0.0014712317670256493,0.9536,20,55,
Intersectional-Valence-WMWF,simmm,white-female,white-male,pleasant,unpleasant,0.7602368584707643,-8.532439661958276e-05,-0.006120107352086195,0.0054,20,55,***
Intersectional-Valence-WFBM,simmm,white-female,black-male,pleasant,unpleasant,0.7905031335230652,-8.532439661958276e-05,-0.009359810761822726,0.0056,20,55,***
Intersectional-Valence-BFBM,simmm,black-female,black-male,pleasant,unpleasant,0.6501284328842267,-0.0014712317670256493,-0.009359810761822726,0.0189,20,55,**
Intersectional-Valence-WFBF,simmm,white-female,black-female,pleasant,unpleasant,0.24076822628389807,-8.532439661958276e-05,-0.0014712317670256493,0.2331,20,55,
Intersectional-Valence-FM,simmm,female,male,pleasant,unpleasant,0.6789212452699575,-0.0007782780818226159,-0.00773995905695446,0.0009,40,55,***
Insect-Flower,moco,flower,insect,pleasant,unpleasant,1.218888342747785,0.0207101182751125,-0.03143094880756245,0.0001,35,55,***
Gender-Science,moco,male,female,science,liberal-arts,0.016462991527663756,0.01268024138610703,0.012378924915895782,0.4685,40,21,
Gender-Career,moco,male,female,career,family,-0.12664620983579875,-0.009374089503091354,-0.007752116356246637,0.7156,40,21,
Intersectional-Gender-Science-MF,moco,male,female,science,liberal-arts,0.3000447045268577,0.011916348738471059,0.006892865193126098,0.0911,40,21,*
Intersectional-Gender-Science-WMBM,moco,white-male,black-male,science,liberal-arts,0.14983816797468555,0.013351008913468548,0.01048168856347357,0.3232,20,21,
Intersectional-Gender-Science-WMBF,moco,white-male,black-female,science,liberal-arts,0.5548200905410977,0.013351008913468548,0.0037913396717596066,0.0407,20,21,**
Intersectional-Gender-Science-WMWF,moco,white-male,white-female,science,liberal-arts,0.1665299110358411,0.013351008913468548,0.009994390714492592,0.3045,20,21,
Intersectional-Gender-Science-BMBF,moco,black-male,black-female,science,liberal-arts,0.5444887966611374,0.01048168856347357,0.0037913396717596066,0.0382,20,21,**
Intersectional-Gender-Science-BMWF,moco,black-male,white-female,science,liberal-arts,0.02968341358168076,0.01048168856347357,0.009994390714492592,0.4645,20,21,
Intersectional-Gender-Career-MF,moco,male,female,career,family,0.37754355650117,-0.0031682112159965485,-0.008682314887758188,0.0336,40,21,**
Intersectional-Gender-Career-WMBM,moco,black-male,white-male,career,family,-0.31805333498048177,-0.00446457960161146,-0.0018718428303816387,0.8273,20,21,
Intersectional-Gender-Career-WMBF,moco,white-male,black-female,career,family,0.5697080479433662,-0.0018718428303816387,-0.011764668269260346,0.0044,20,21,***
Intersectional-Gender-Career-WMWF,moco,white-male,white-female,career,family,0.33525890377071255,-0.0018718428303816387,-0.005599961506256033,0.1528,20,21,
Intersectional-Gender-Career-BMBF,moco,black-male,black-female,career,family,0.42245449594434403,-0.00446457960161146,-0.011764668269260346,0.0777,20,21,*
Intersectional-Gender-Career-BMWF,moco,black-male,white-female,career,family,0.09999409798475768,-0.00446457960161146,-0.005599961506256033,0.3782,20,21,
Intersectional-Valence-BW,moco,white,black,pleasant,unpleasant,0.20175267762305388,-0.004218680473351397,-0.005827120742649202,0.1876,40,55,
Intersectional-Valence-WMBM,moco,white-male,black-male,pleasant,unpleasant,0.20955454465833262,-0.007529662610736799,-0.009416282894809187,0.2565,20,55,
Intersectional-Valence-WMBF,moco,white-male,black-female,pleasant,unpleasant,-0.7456335836924004,-0.007529662610736799,-0.002237958590489222,0.9919,20,55,
Intersectional-Valence-WMWF,moco,white-female,white-male,pleasant,unpleasant,0.846100399559243,-0.0009076983359659951,-0.007529662610736799,0.0021,20,55,***
Intersectional-Valence-WFBM,moco,white-female,black-male,pleasant,unpleasant,0.961314582720055,-0.0009076983359659951,-0.009416282894809187,0.0005,20,55,***
Intersectional-Valence-BFBM,moco,black-female,black-male,pleasant,unpleasant,0.8824819553931184,-0.002237958590489222,-0.009416282894809187,0.0018,20,55,***
Intersectional-Valence-WFBF,moco,white-female,black-female,pleasant,unpleasant,0.2757318191824497,-0.0009076983359659951,-0.002237958590489222,0.2032,20,55,
Intersectional-Valence-FM,moco,female,male,pleasant,unpleasant,0.8655109008237917,-0.0015728284632276087,-0.008472972752772992,0.0001,40,55,***
Insect-Flower,dino,flower,insect,pleasant,unpleasant,1.0436600929543947,0.08463368266528669,0.052197428081786124,0.0001,35,55,***
Gender-Science,dino,male,female,science,liberal-arts,0.10576653065253976,0.013519966290017926,0.011270719865661201,0.3186,40,21,
Gender-Career,dino,male,female,career,family,0.7243493376817447,-0.03763273356151402,-0.062278647946083995,0.0004,40,21,***
Intersectional-Gender-Science-MF,dino,male,female,science,liberal-arts,0.578023747530205,0.01542883782096845,0.00439929192202952,0.0036,40,21,***
Intersectional-Gender-Science-WMBM,dino,white-male,black-male,science,liberal-arts,0.03511256037529453,0.015714110712171478,0.015143564929765426,0.4574,20,21,
Intersectional-Gender-Science-WMBF,dino,white-male,black-female,science,liberal-arts,0.8959069196461054,0.015714110712171478,-0.00253238861408111,0.002,20,21,***
Intersectional-Gender-Science-WMWF,dino,white-male,white-female,science,liberal-arts,0.2573543526470846,0.015714110712171478,0.011330972458140149,0.2144,20,21,
Intersectional-Gender-Science-BMBF,dino,black-male,black-female,science,liberal-arts,0.861720541749349,0.015143564929765426,-0.00253238861408111,0.0027,20,21,***
Intersectional-Gender-Science-BMWF,dino,black-male,white-female,science,liberal-arts,0.22008607829188861,0.015143564929765426,0.011330972458140149,0.2431,20,21,
Intersectional-Gender-Career-MF,dino,male,female,career,family,0.7407451827202826,-0.018467897788241143,-0.045411720750092956,0.0003,40,21,***
Intersectional-Gender-Career-WMBM,dino,black-male,white-male,career,family,0.1258917993518782,-0.0162499577129042,-0.02068583786357809,0.3546,20,21,
Intersectional-Gender-Career-WMBF,dino,white-male,black-female,career,family,0.4466146999433046,-0.02068583786357809,-0.03321271354125192,0.0831,20,21,*
Intersectional-Gender-Career-WMWF,dino,white-male,white-female,career,family,1.115454861012067,-0.02068583786357809,-0.05761072795893398,0.0002,20,21,***
Intersectional-Gender-Career-BMBF,dino,black-male,black-female,career,family,0.4412755188609242,-0.0162499577129042,-0.03321271354125192,0.0874,20,21,*
Intersectional-Gender-Career-BMWF,dino,black-male,white-female,career,family,0.9636401463069193,-0.0162499577129042,-0.05761072795893398,0.0006,20,21,***
Intersectional-Valence-BW,dino,white,black,pleasant,unpleasant,0.5260912326902905,-0.01773502311072887,-0.029190349601158804,0.0074,40,55,***
Intersectional-Valence-WMBM,dino,white-male,black-male,pleasant,unpleasant,0.5665251831646103,-0.02601184630363344,-0.03806606860411606,0.0313,20,55,**
Intersectional-Valence-WMBF,dino,white-male,black-female,pleasant,unpleasant,-0.2926569406138814,-0.02601184630363344,-0.02031463059820155,0.8133,20,55,
Intersectional-Valence-WMWF,dino,white-female,white-male,pleasant,unpleasant,0.9850182280827433,-0.009458199917824293,-0.02601184630363344,0.0006,20,55,***
Intersectional-Valence-WFBM,dino,white-female,black-male,pleasant,unpleasant,1.1865985575783873,-0.009458199917824293,-0.03806606860411606,0.0001,20,55,***
Intersectional-Valence-BFBM,dino,black-female,black-male,pleasant,unpleasant,0.7183284722542032,-0.02031463059820155,-0.03806606860411606,0.0106,20,55,**
Intersectional-Valence-WFBF,dino,white-female,black-female,pleasant,unpleasant,0.5747446755038577,-0.009458199917824293,-0.02031463059820155,0.0342,20,55,**
Intersectional-Valence-FM,dino,female,male,pleasant,unpleasant,0.7877385315147396,-0.01488641525801292,-0.03203895745387475,0.0003,40,55,***
Insect-Flower,deit,flower,insect,pleasant,unpleasant,1.2698930433405744,0.027645337771252047,-0.03151080912636235,0.0001,35,55,***
Gender-Science,deit,male,female,science,liberal-arts,-0.21787373304173055,0.007794372663193156,0.012062766419170383,0.8307,40,21,
Gender-Career,deit,male,female,career,family,0.47047919524578197,-0.008542117694248197,-0.016629473856839355,0.0177,40,21,**
Intersectional-Gender-Science-MF,deit,male,female,science,liberal-arts,0.025324839242109216,0.007027028840154928,0.0066200495402749,0.4587,40,21,
Intersectional-Gender-Science-WMBM,deit,white-male,black-male,science,liberal-arts,0.2415071674868727,0.008982114222496005,0.0050719434578138526,0.2061,20,21,
Intersectional-Gender-Science-WMBF,deit,white-male,black-female,science,liberal-arts,0.47476611681379216,0.008982114222496005,0.002099795908030467,0.0863,20,21,*
Intersectional-Gender-Science-WMWF,deit,white-male,white-female,science,liberal-arts,-0.11106235858188951,0.008982114222496005,0.011140303172519335,0.6291,20,21,
Intersectional-Gender-Science-BMBF,deit,black-male,black-female,science,liberal-arts,0.26688420615447134,0.0050719434578138526,0.002099795908030467,0.2416,20,21,
Intersectional-Gender-Science-BMWF,deit,black-male,white-female,science,liberal-arts,-0.34487117202501955,0.0050719434578138526,0.011140303172519335,0.8504,20,21,
Intersectional-Gender-Career-MF,deit,male,female,career,family,0.47057552789114776,-0.007486185573569379,-0.014716364460052273,0.0084,40,21,***
Intersectional-Gender-Career-WMBM,deit,black-male,white-male,career,family,-0.2470838396141331,-0.008640099898971434,-0.006332271248167326,0.7646,20,21,
Intersectional-Gender-Career-WMBF,deit,white-male,black-female,career,family,0.5246982380136239,-0.006332271248167326,-0.01618620221983382,0.0148,20,21,**
Intersectional-Gender-Career-WMWF,deit,white-male,white-female,career,family,0.6894226643977422,-0.006332271248167326,-0.013246526700270716,0.0119,20,21,**
Intersectional-Gender-Career-BMBF,deit,black-male,black-female,career,family,0.3901582617634339,-0.008640099898971434,-0.01618620221983382,0.1196,20,21,
Intersectional-Gender-Career-BMWF,deit,black-male,white-female,career,family,0.4112800053890734,-0.008640099898971434,-0.013246526700270716,0.1061,20,21,
Intersectional-Valence-BW,deit,white,black,pleasant,unpleasant,-0.036413084351516745,-0.006088994986320627,-0.005741599178740292,0.565,40,55,
Intersectional-Valence-WMBM,deit,white-male,black-male,pleasant,unpleasant,0.0205072746736218,-0.009442517392789892,-0.009672253122601454,0.4666,20,55,
Intersectional-Valence-WMBF,deit,white-male,black-female,pleasant,unpleasant,-0.8237862931516127,-0.009442517392789892,-0.0018109452348791285,0.9968,20,55,
Intersectional-Valence-WMWF,deit,white-female,white-male,pleasant,unpleasant,0.6629423824570646,-0.002735472579851365,-0.009442517392789892,0.0144,20,55,**
Intersectional-Valence-WFBM,deit,white-female,black-male,pleasant,unpleasant,0.6993665155530773,-0.002735472579851365,-0.009672253122601454,0.0131,20,55,**
Intersectional-Valence-BFBM,deit,black-female,black-male,pleasant,unpleasant,0.8683722845022724,-0.0018109452348791285,-0.009672253122601454,0.0025,20,55,***
Intersectional-Valence-WFBF,deit,white-female,black-female,pleasant,unpleasant,-0.16430075757243437,-0.002735472579851365,-0.0018109452348791285,0.644,20,55,
Intersectional-Valence-FM,deit,female,male,pleasant,unpleasant,0.7635075671273565,-0.0022732089073652464,-0.009557385257695672,0.0004,40,55,***
Insect-Flower,vit,flower,insect,pleasant,unpleasant,1.412566536501311,0.036498701389214926,-0.023674265495617675,0.0001,35,55,***
Gender-Science,vit,male,female,science,liberal-arts,-0.28104042691261416,0.011060366435290242,0.01996326384558726,0.8887,40,21,
Gender-Career,vit,male,female,career,family,0.09185660239711753,-0.03310910715234967,-0.0352633019764197,0.3412,40,21,
Intersectional-Gender-Science-MF,vit,male,female,science,liberal-arts,0.11525644242267559,0.011388395108149848,0.008380111384669185,0.3086,40,21,
Intersectional-Gender-Science-WMBM,vit,white-male,black-male,science,liberal-arts,0.07447074188357415,0.012365178760800058,0.010411611455499632,0.4122,20,21,
Intersectional-Gender-Science-WMBF,vit,white-male,black-female,science,liberal-arts,0.6076059668548213,0.012365178760800058,0.002617795985449146,0.0093,20,21,***
Intersectional-Gender-Science-WMWF,vit,white-male,white-female,science,liberal-arts,-0.06028957293813176,0.012365178760800058,0.014142426783889222,0.5595,20,21,
